category	file	line	text
fixed-width-integer	clamonacc/client/communication.c	130	static int onas_socket_wait(curl_socket_t sockfd, int32_t b_recv, uint64_t timeout_ms)
fixed-width-integer	clamonacc/client/communication.c	159	int onas_sendln(CURL *curl, const void *line, size_t len, int64_t timeout, cl_error_t *ret_code)
fixed-width-integer	clamonacc/client/communication.c	245	int onas_recv_scan_report(struct onas_rcvln *rcv_data, int64_t timeout_ms,
fixed-width-integer	clamonacc/client/communication.c	258	        uint32_t network_length;
fixed-width-integer	clamonacc/client/communication.c	259	        uint32_t length;
fixed-width-integer	clamonacc/client/communication.c	312	int onas_recvln(struct onas_rcvln *rcv_data, char **ret_bol, char **ret_eol, int64_t timeout)
fixed-width-integer	clamonacc/client/communication.c	421	int onas_fd_recvln(struct onas_rcvln *rcv_data, char **ret_bol, char **ret_eol, int64_t timeout_ms)
fixed-width-integer	clamonacc/client/communication.c	53	static int onas_socket_wait(curl_socket_t sockfd, int32_t b_recv, uint64_t timeout_ms);
fixed-width-integer	clamonacc/client/communication.c	56	                           size_t length, int64_t timeout_ms)
fixed-width-integer	clamonacc/client/communication.c	59	    uint64_t wait_timeout = timeout_ms > 0 ? (uint64_t)timeout_ms : 0;
fixed-width-integer	clamonacc/client/communication.h	45	int onas_sendln(CURL *curl, const void *line, size_t len, int64_t timeout_ms, cl_error_t *ret_code);
fixed-width-integer	clamonacc/client/communication.h	47	int onas_recvln(struct onas_rcvln *rcv_data, char **ret_bol, char **ret_eol, int64_t timeout_ms);
fixed-width-integer	clamonacc/client/communication.h	48	int onas_fd_recvln(struct onas_rcvln *rcv_data, char **ret_bol, char **ret_eol, int64_t timeout_ms);
fixed-width-integer	clamonacc/client/communication.h	49	int onas_recv_scan_report(struct onas_rcvln *rcv_data, int64_t timeout_ms,
fixed-width-integer	clamonacc/client/protocol.c	116	    if ((uint64_t)statbuf.st_size > maxstream) {
fixed-width-integer	clamonacc/client/protocol.c	141	        uint64_t remaining = len - bytesRead;
fixed-width-integer	clamonacc/client/protocol.c	144	        uint32_t chunk_len;
fixed-width-integer	clamonacc/client/protocol.c	161	        chunk_len = htonl((uint32_t)bytes);
fixed-width-integer	clamonacc/client/protocol.c	262	static int onas_fdpass(const char *filename, int fd, int sockd, uint64_t maxstream,
fixed-width-integer	clamonacc/client/protocol.c	302	    if (S_ISREG(statbuf.st_mode) && (uint64_t)statbuf.st_size > maxstream) {
fixed-width-integer	clamonacc/client/protocol.c	331	int onas_dsresult(CURL *curl, int scantype, uint64_t maxstream, const char *filename, const action_source_t *action_source,
fixed-width-integer	clamonacc/client/protocol.c	332	                  int fd, int64_t timeout, int *printok, int *errors, cl_error_t *ret_code)
fixed-width-integer	clamonacc/client/protocol.c	339	    int (*recv_func)(struct onas_rcvln *, char **, char **, int64_t) = NULL;
fixed-width-integer	clamonacc/client/protocol.c	75	static int onas_send_stream(CURL *curl, const char *filename, int fd, int64_t timeout, uint64_t maxstream, bool action_stream, cl_error_t *ret_code)
fixed-width-integer	clamonacc/client/protocol.c	77	    uint32_t buf[BUFSIZ / sizeof(uint32_t)];
fixed-width-integer	clamonacc/client/protocol.c	78	    uint64_t len;
fixed-width-integer	clamonacc/client/protocol.c	82	    uint64_t bytesRead     = 0;
fixed-width-integer	clamonacc/client/protocol.h	32	int onas_dsresult(CURL *curl, int scantype, uint64_t maxstream, const char *filename, const struct action_source *action_source,
fixed-width-integer	clamonacc/client/protocol.h	33	                  int fd, int64_t timeout, int *printok, int *errors, cl_error_t *ret_code);
fixed-width-integer	clamonacc/fanotif/fanotif.c	70	    uint64_t fan_mask = FAN_EVENT_ON_CHILD;
fixed-width-integer	clamonacc/inotif/hash.c	117	static inline int onas_hash(const char *key, size_t keylen, uint32_t size)
fixed-width-integer	clamonacc/inotif/hash.c	120	    uint32_t hash = 1;
fixed-width-integer	clamonacc/inotif/hash.c	121	    uint32_t i;
fixed-width-integer	clamonacc/inotif/hash.c	134	int onas_ht_init(struct onas_ht **ht, uint32_t size)
fixed-width-integer	clamonacc/inotif/hash.c	168	    uint32_t i = 0;
fixed-width-integer	clamonacc/inotif/hash.c	201	    uint32_t i                = 0;
fixed-width-integer	clamonacc/inotif/hash.c	258	    uint32_t bsize   = 0;
fixed-width-integer	clamonacc/inotif/hash.c	94	static inline uint32_t onas_hshift(uint32_t hash)
fixed-width-integer	clamonacc/inotif/hash.h	44	    uint32_t size;
fixed-width-integer	clamonacc/inotif/hash.h	59	    uint32_t size;
fixed-width-integer	clamonacc/inotif/hash.h	60	    uint32_t nbckts;
fixed-width-integer	clamonacc/inotif/hash.h	91	    uint32_t watched;
fixed-width-integer	clamonacc/inotif/hash.h	95	int onas_ht_init(struct onas_ht **ht, uint32_t table_size);
fixed-width-integer	clamonacc/inotif/inotif.c	103	static int onas_ddd_init_wdlt(uint64_t nwatches)
fixed-width-integer	clamonacc/inotif/inotif.c	138	int onas_ddd_init(uint64_t nwatches, size_t ht_size)
fixed-width-integer	clamonacc/inotif/inotif.c	146	    int64_t tmp                        = 0;
fixed-width-integer	clamonacc/inotif/inotif.c	176	static int onas_ddd_watch(const char *pathname, int fan_fd, uint64_t fan_mask, int in_fd, uint64_t in_mask)
fixed-width-integer	clamonacc/inotif/inotif.c	201	static int onas_ddd_watch_hierarchy(const char *pathname, size_t len, int fd, uint64_t mask, uint32_t type)
fixed-width-integer	clamonacc/inotif/inotif.c	220	        wd = inotify_add_watch(fd, pathname, (uint32_t)mask);
fixed-width-integer	clamonacc/inotif/inotif.c	226	        if ((uint32_t)wd >= wdlt_len) {
fixed-width-integer	clamonacc/inotif/inotif.c	301	static int onas_ddd_unwatch_hierarchy(const char *pathname, size_t len, int fd, uint32_t type)
fixed-width-integer	clamonacc/inotif/inotif.c	359	    int32_t thread_started = 1;
fixed-width-integer	clamonacc/inotif/inotif.c	402	    uint64_t in_mask = IN_ONLYDIR | IN_MOVE | IN_DELETE | IN_CREATE | IN_CLOSE_WRITE;
fixed-width-integer	clamonacc/inotif/inotif.c	630	            uint64_t ptlen = strlen(include_list[idx]);
fixed-width-integer	clamonacc/inotif/inotif.c	67	static int onas_ddd_init_ht(uint32_t ht_size);
fixed-width-integer	clamonacc/inotif/inotif.c	68	static int onas_ddd_init_wdlt(uint64_t nwatches);
fixed-width-integer	clamonacc/inotif/inotif.c	71	static int onas_ddd_watch(const char *pathname, int fan_fd, uint64_t fan_mask, int in_fd, uint64_t in_mask);
fixed-width-integer	clamonacc/inotif/inotif.c	72	static int onas_ddd_watch_hierarchy(const char *pathname, size_t len, int fd, uint64_t mask, uint32_t type);
fixed-width-integer	clamonacc/inotif/inotif.c	74	static int onas_ddd_unwatch_hierarchy(const char *pathname, size_t len, int fd, uint32_t type);
fixed-width-integer	clamonacc/inotif/inotif.c	76	static void onas_ddd_handle_in_moved_to(struct onas_context *ctx, const char *path, const char *child_path, const struct inotify_event *event, int wd, uint64_t in_mask);
fixed-width-integer	clamonacc/inotif/inotif.c	77	static void onas_ddd_handle_in_create(struct onas_context *ctx, const char *path, const char *child_path, const struct inotify_event *event, int wd, uint64_t in_mask);
fixed-width-integer	clamonacc/inotif/inotif.c	773	                                      const char *path, const char *child_path, const struct inotify_event *event, int wd, uint64_t in_mask)
fixed-width-integer	clamonacc/inotif/inotif.c	805	                                        const char *path, const char *child_path, const struct inotify_event *event, int wd, uint64_t in_mask)
fixed-width-integer	clamonacc/inotif/inotif.c	87	static uint32_t wdlt_len;
fixed-width-integer	clamonacc/inotif/inotif.c	91	static int onas_ddd_init_ht(uint32_t ht_size)
fixed-width-integer	clamonacc/inotif/inotif.h	46	    uint64_t fan_mask;
fixed-width-integer	clamonacc/inotif/inotif.h	51	int onas_ddd_init(uint64_t nwatches, size_t ht_size);
fixed-width-integer	clamonacc/inotif/inotif.h	53	int onas_ddd_init(uint64_t nwatches, size_t ht_size);
fixed-width-integer	clamonacc/misc/utils.c	157	    uint64_t len    = 0;
fixed-width-integer	clamonacc/misc/utils.c	158	    int32_t ret     = 0;
fixed-width-integer	clamonacc/scan/onas_queue.c	249	    int32_t thread_started = 1;
fixed-width-integer	clamonacc/scan/onas_queue.h	28	    uint64_t size;
